merek;type;area;rating;lat;long;coordinates;id;;;;;;;;;;;;;;
Jaja Mandiri Motor;Car;Jakarta Timur;4,8;-6.242501125;106.9202145;{'lat':-6.242501124549183, 'lng':106.92021448985892};1;;;;;;;;;;;;;;
Bengkel Mobil Pawang;Car;Jakarta Timur;4,7;-6.219862775;106.9265599;{'lat':-6.219862775354089, 'lng':106.92655994742255};2;;;;;;;;;;;;;;
New Bengkel 99;Car;Jakarta Timur;4,2;-6.22079376;106.9260703;{'lat':-6.220793760459709, 'lng':106.92607031156363};3;;;;;;;;;;;;;;
Harapan Jaya Motor;Motorcycle;Jakarta Timur;4,7;-6.205084404;106.9590291;{'lat':-6.205084403908763, 'lng':106.95902913044758};4;;;;;;;;;;;;;;
Pitline Motor Sport;Motorcycle;Jakarta Timur;4,8;-6.228068507;106.9138859;{'lat':-6.2280685068289845, 'lng':106.91388588518772};5;;;;;;;;;;;;;;
Bengkel Ahass Honda;Motorcycle;Jakarta Timur;4,1;-6.212709943;106.8610142;{'lat':-6.2127099428080665, 'lng':106.86101418072022};6;;;;;;;;;;;;;;
Bike Point Wijaya Motor;Motorcycle;Jakarta Timur;4,4;-6.217146907;106.8994663;{'lat':-6.217146907386827, 'lng':106.89946632942387};7;;;;;;;;;;;;;;
Bengkel Culay;All;Jakarta Timur;5;-6.28635212;106.8786829;{'lat':-6.286352120025616, 'lng':106.87868287404488};8;;;;;;;;;;;;;;
Bengkel Mobil MTM Motor;Car;Jakarta Timur;4,9;-6.219461194;106.874563;{'lat':-6.2194611936677155, 'lng':106.87456300096949};9;;;;;;;;;;;;;;
Bengkel Kembar Motor;Car;Jakarta Timur;4,2;-6.237483295;106.9222307;{'lat':-6.2374832949127885, 'lng':106.92223068594754};10;;;;;;;;;;;;;;
Bengkel Rehobot Motor;Car;Jakarta Timur;5;-6.214533899;106.8868553;{'lat': -6.21453389927323 , 'lng': 106.88685533745266 };11;;;;;;;;;;;;;;
Bengkel Mobil Pawang;Car;Jakarta Timur;4,7;-6.22022967;106.926599;{'lat': -6.220229669501172 , 'lng': 106.92659898519359 };12;;;;;;;;;;;;;;
Bengkel Zhy Jaya Motor;All;Jakarta Timur;5;-6.23735187;106.915908;{'lat': -6.237351869869393 , 'lng': 106.91590799203637 };13;;;;;;;;;;;;;;
Yanto Motor Service Station;Car;Jakarta Timur;4,5;-6.238002551;106.8998184;{'lat': -6.238002551055519 , 'lng': 106.8998183861831 };14;;;;;;;;;;;;;;
One Stop Bengkel TOP 1;All;Jakarta Timur;4,3;-6.366048196;106.8880206;{'lat': -6.366048196018254 , 'lng': 106.88802059257698 };15;;;;;;;;;;;;;;
Auto Cibubur;All;Jakarta Timur;4,4;-6.352312749;106.8893687;{'lat': -6.352312748661905 , 'lng': 106.88936871435345 };16;;;;;;;;;;;;;;
Bengkel Mobil Tosca MTR;Car;Jakarta Timur;5;-6.350092841;106.8771237;{'lat': -6.350092841010164 , 'lng': 106.87712374563047 };17;;;;;;;;;;;;;;
Bengkel Pak Slamet;All;Jakarta Timur;4,9;-6.35381182;106.879098;{'lat': -6.353811820268582 , 'lng': 106.87909797650103 };18;;;;;;;;;;;;;;
Variasi Motor Cibubur;Motorcycle;Jakarta Timur;5;-6.348267163;106.8768222;{'lat': -6.348267163046968 , 'lng': 106.87682217911457 };19;;;;;;;;;;;;;;
Saudara Motor 3;Motorcycle;Jakarta Timur;4,5;-6.347520653;106.8745709;{'lat': -6.347520652876927 , 'lng': 106.8745708740787 };20;;;;;;;;;;;;;;
Cibubur Motor Bengkel;Motorcycle;Jakarta Timur;5;-6.362340534;106.8877847;{'lat': -6.362340534175103 , 'lng': 106.88778468799018 };21;;;;;;;;;;;;;;
Bengkel Kreasi Motor Mas Bagyo;Motorcycle;Jakarta Timur;4,8;-6.351589295;106.89096;{'lat': -6.35158929499217 , 'lng': 106.89096003972261 };22;;;;;;;;;;;;;;
Bengkel TOP 1 Anugrah Motor;All;Jakarta Timur;4,8;-6.199328545;106.8624804;{'lat': -6.1993285452599425 , 'lng': 106.86248040001195 };23;;;;;;;;;;;;;;
Bengkel Motor Mang Dolet PMS;Motorcycle;Jakarta Timur;4,3;-6.196521792;106.873687;{'lat': -6.196521791940119 , 'lng': 106.87368698893503 };24;;;;;;;;;;;;;;
Bengkel Motor Ratu Ban;Motorcycle;Jakarta Timur;4,3;-6.227618498;106.8869351;{'lat': -6.227618497811618 , 'lng': 106.88693509551794 };25;;;;;;;;;;;;;;
Bengkel Motor Papa Bro;Motorcycle;Jakarta Timur;5;-6.249335169;106.8793509;{'lat': -6.2493351693685035 , 'lng': 106.87935088018747 };26;;;;;;;;;;;;;;
Bengkel Ahass Honda;Motorcycle;Jakarta Timur;4,3;-6.216061416;106.8695751;{'lat': -6.216061415760205 , 'lng': 106.86957506799254 };27;;;;;;;;;;;;;;
Pacific Javanese Motor;Motorcycle;Jakarta Timur;4,5;-6.203985987;106.8708974;{'lat': -6.203985987236912 , 'lng': 106.87089742753793 };28;;;;;;;;;;;;;;
Bengkel Motor Aseng;Motorcycle;Jakarta Timur;5;-6.344363121;106.8938293;{'lat': -6.34436312108897 , 'lng': 106.89382934970367 };29;;;;;;;;;;;;;;
Yanto Motor Service Station;All;Jakarta Timur;4,5;-6.237852355;106.8998366;{'lat': -6.237852354992903 , 'lng': 106.8998366001212 };30;;;;;;;;;;;;;;
Towo Motor;All;Jakarta Timur;4,8;-6.24022052;106.9009236;{'lat': -6.240220520447163 , 'lng': 106.90092361786775 };31;;;;;;;;;;;;;;
Bengkel Mobil & Motor Madinah;All;Jakarta Timur;4,5;-6.241512006;106.9280379;{'lat': -6.241512006100742 , 'lng': 106.92803791380777 };32;;;;;;;;;;;;;;
Marga Motor;All;Jakarta Timur;4,5;-6.23795579;106.9222075;{'lat': -6.237955789519393 , 'lng': 106.92220746417918 };33;;;;;;;;;;;;;;
Bengkel Tidar Motor;All;Jakarta Timur;5;-6.24047917;106.9004308;{'lat': -6.240479170210607 , 'lng': 106.90043083218704 };34;;;;;;;;;;;;;;
22 Motor;Car;Jakarta Timur;4,5;-6.243896674;106.9197945;{'lat': -6.243896673796697 , 'lng': 106.91979453300995 };35;;;;;;;;;;;;;;
Bengkel Ketok Magic Ary Motor;Car;Jakarta Timur;4,7;-6.2582674;106.8624654;{'lat': -6.258267400000001 , 'lng': 106.8624654000303 };36;;;;;;;;;;;;;;
Rapperind Motor;Car;Jakarta Timur;5;-6.247664935;106.9124396;{'lat': -6.247664934885226 , 'lng': 106.9124396270135 };37;;;;;;;;;;;;;;
Tri Jaya Motor;Car;Jakarta Timur;4,9;-6.352035874;106.8896247;{'lat': -6.352035874059854 , 'lng': 106.88962467119416 };38;;;;;;;;;;;;;;
AA Motor;Car;Jakarta Timur;4,6;-6.290014949;106.8907422;{'lat': -6.290014948985339 , 'lng': 106.89074216056807 };39;;;;;;;;;;;;;;
Yopi Motor;Car;Jakarta Timur;4;-6.341638474;106.909687;{'lat': -6.341638473629389 , 'lng': 106.90968696661326 };40;;;;;;;;;;;;;;
Harmonic Jaya Motor;Car;Jakarta Timur;4,4;-6.204491434;106.8732483;{'lat': -6.20449143400846 , 'lng': 106.87324832886642 };41;;;;;;;;;;;;;;
Mamba Motor;Car;Jakarta Timur;4,8;-6.174374;106.8919666;{'lat': -6.174374000201918 , 'lng': 106.89196661352192 };42;;;;;;;;;;;;;;
Calista Abadi Motor;Car;Jakarta Timur;4,9;-6.351945837;106.9019606;{'lat': -6.351945837027943 , 'lng': 106.9019606000303 };43;;;;;;;;;;;;;;
